INFO [2024-02-28 13:34:05.971]   wsServer.initializeServer(): initializing WebSocket server url = 127.0.0.1:22111 path = /save 
INFO [2024-02-28 13:34:31.504]   new connection                           route = /save remote address = 127.0.0.1:59659 
INFO [2024-02-28 13:34:31.548]   new connection                           route = /save remote address = 127.0.0.1:59661 
INFO [2024-02-28 13:34:32.133]   new connection                           route = /save remote address = 127.0.0.1:59672 
INFO [2024-02-28 13:34:32.142]   new connection                           route = /save remote address = 127.0.0.1:59673 
WARN [2024-02-28 13:42:25.329]   wt.Listen()-> connection problem         error = read tcp 127.0.0.1:22111->127.0.0.1:59672: read: connection reset by peer 
WARN [2024-02-28 13:42:25.329]   wt.Listen()-> connection problem         error = read tcp 127.0.0.1:22111->127.0.0.1:59659: read: connection reset by peer 
WARN [2024-02-28 13:42:25.329]   wt.Listen()-> connection problem         error = read tcp 127.0.0.1:22111->127.0.0.1:59673: read: connection reset by peer 
INFO [2024-02-28 13:42:25.334]   connection closed                        client id = 0xc000180570 
INFO [2024-02-28 13:42:25.334]   connection closed                        client id = 0xc000266450 
INFO [2024-02-28 13:42:25.334]   connection closed                        client id = 0xc0005f06c0 
WARN [2024-02-28 13:42:25.330]   wt.Listen()-> connection problem         error = read tcp 127.0.0.1:22111->127.0.0.1:59661: read: connection reset by peer 
INFO [2024-02-28 13:42:25.336]   connection closed                        client id = 0xc0001802a0 
INFO [2024-02-28 13:42:25.339]   new connection                           route = /save remote address = 127.0.0.1:59874 
INFO [2024-02-28 13:42:25.339]   new connection                           route = /save remote address = 127.0.0.1:59869 
INFO [2024-02-28 13:42:25.339]   new connection                           route = /save remote address = 127.0.0.1:59868 
INFO [2024-02-28 13:42:25.339]   new connection                           route = /save remote address = 127.0.0.1:59864 
WARN [2024-02-28 13:42:25.340]   wt.Listen()-> connection problem         error = read tcp 127.0.0.1:22111->127.0.0.1:59868: read: connection reset by peer 
INFO [2024-02-28 13:42:25.340]   connection closed                        client id = 0xc00061c780 
WARN [2024-02-28 13:42:25.340]   wt.Listen()-> connection problem         error = read tcp 127.0.0.1:22111->127.0.0.1:59864: read: connection reset by peer 
INFO [2024-02-28 13:42:25.340]   connection closed                        client id = 0xc000222f30 
INFO [2024-02-28 13:45:25.984]   received connection close                
INFO [2024-02-28 13:45:25.987]   connection closed                        client id = 0xc000340330 
WARN [2024-02-28 13:45:25.989]   wt.Listen()-> connection problem         error = read tcp 127.0.0.1:22111->127.0.0.1:59869: read: connection reset by peer 
INFO [2024-02-28 13:45:25.989]   connection closed                        client id = 0xc000148210 
